,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
0,,,,,,,,,
1,18.0,21.0,17.0,14.0,7.0,4.0,,,
2,5.0,9.0,6.0,7.0,6.0,2.0,1.0,,
3,11.0,23.0,16.0,10.0,10.0,5.0,1.0,,
4,17.0,11.0,19.0,12.0,12.0,5.0,2.0,,
5,7.0,5.0,3.0,6.0,3.0,4.0,1.0,,
6,,,,,,,,,
7,16.0,16.0,18.0,14.0,13.0,1.0,1.0,,
8,14.0,15.0,14.0,12.0,6.0,6.0,2.0,1.0,
9,18.0,16.0,15.0,14.0,12.0,2.0,3.0,,
10,19.0,16.0,10.0,10.0,11.0,6.0,,,
11,9.0,1.0,10.0,1.0,3.0,3.0,,,
12,9.0,11.0,20.0,13.0,9.0,4.0,2.0,,
13,9.0,4.0,4.0,5.0,6.0,1.0,1.0,,
14,14.0,9.0,11.0,17.0,8.0,2.0,1.0,,
15,9.0,10.0,4.0,3.0,2.0,3.0,3.0,,
16,17.0,13.0,17.0,10.0,8.0,2.0,4.0,,
17,14.0,15.0,13.0,12.0,11.0,2.0,,,
18,9.0,5.0,9.0,5.0,4.0,5.0,,,
19,16.0,24.0,12.0,12.0,8.0,4.0,2.0,,
20,5.0,3.0,6.0,4.0,1.0,3.0,2.0,,
21,6.0,7.0,7.0,3.0,4.0,2.0,1.0,,
22,6.0,12.0,4.0,5.0,2.0,5.0,,,
23,16.0,18.0,13.0,12.0,11.0,6.0,2.0,,
24,19.0,12.0,13.0,8.0,9.0,5.0,1.0,,
25,16.0,14.0,16.0,13.0,11.0,6.0,1.0,,
26,16.0,17.0,14.0,14.0,7.0,4.0,1.0,,
27,7.0,12.0,11.0,11.0,13.0,4.0,1.0,,
28,10.0,13.0,13.0,14.0,8.0,6.0,3.0,,
29,10.0,20.0,19.0,11.0,9.0,3.0,2.0,1.0,
30,2.0,,,,,,,,
31,18.0,11.0,15.0,21.0,10.0,1.0,1.0,,
32,9.0,9.0,3.0,7.0,4.0,2.0,,,
33,13.0,13.0,16.0,14.0,10.0,2.0,1.0,,
34,15.0,12.0,17.0,20.0,7.0,2.0,1.0,,
35,15.0,14.0,13.0,12.0,12.0,7.0,,,
36,11.0,11.0,12.0,18.0,13.0,1.0,,,
37,5.0,7.0,4.0,5.0,4.0,4.0,1.0,,
38,6.0,4.0,7.0,5.0,3.0,1.0,,1.0,
39,18.0,11.0,16.0,10.0,12.0,2.0,2.0,1.0,
40,17.0,22.0,14.0,13.0,4.0,8.0,1.0,,
41,18.0,15.0,18.0,13.0,11.0,4.0,1.0,,
42,3.0,4.0,3.0,4.0,1.0,1.0,1.0,,
43,11.0,20.0,20.0,13.0,9.0,4.0,,,
44,12.0,8.0,15.0,11.0,11.0,1.0,2.0,,
45,6.0,9.0,20.0,21.0,2.0,2.0,,,
