,num_buildings,num_destinations,trace_strength,agents_vision_angle,agent_vision_samples,Run,Avg_raster_value
1761,54,7,97,10.078125,6,81.0,45.78840438489647
1762,54,7,97,35.859375,13,82.0,157.82015145140934
1763,54,7,97,35.859375,6,83.0,15.57789551961331
1764,60,8,18,51.328125,7,84.0,269.96068765637
1765,79,8,18,51.328125,7,85.0,158.07740964694736
1766,60,4,18,51.328125,7,86.0,161.02719829519964
1767,60,8,52,51.328125,7,87.0,155.11436038514444
1768,60,8,18,77.109375,7,88.0,194.9656799430635
1769,60,8,18,51.328125,12,89.0,147.11238301697244
1770,60,4,52,77.109375,12,90.0,149.00105471324983
1771,79,8,52,77.109375,12,91.0,155.7711597896221
1772,79,4,18,77.109375,12,92.0,155.90097690941386
1773,79,4,52,51.328125,12,93.0,193.723986539776
1774,79,4,52,77.109375,7,94.0,181.66116762626413
1775,79,4,52,77.109375,12,95.0,272.75600290442924
1776,57,4,57,77.109375,13,96.0,60.757799921674426
1777,82,4,57,77.109375,13,97.0,228.77244574119575
1778,57,9,57,77.109375,13,98.0,57.04768375540457
1779,57,4,24,77.109375,13,99.0,29.78424766384845
1780,57,4,57,51.328125,13,100.0,58.3479949928778
1781,57,4,57,77.109375,8,101.0,53.64709025152063
1782,57,9,24,51.328125,8,102.0,28.215841343229105
1783,82,4,24,51.328125,8,103.0,55.44346068324237
1784,82,9,57,51.328125,8,104.0,225.74031976017986
1785,82,9,24,77.109375,8,105.0,58.72396949181592
1786,82,9,24,51.328125,13,106.0,56.80503093454901
1787,82,9,24,51.328125,8,107.0,59.32574357250882
1788,82,7,12,35.859375,7,108.0,89.3451133645521
1789,57,7,12,35.859375,7,109.0,200.00728812196886
1790,82,6,12,35.859375,7,110.0,229.32860478545783
1791,82,7,69,35.859375,7,111.0,200.94918891478414
1792,82,7,12,10.078125,7,112.0,232.24419310763625
1793,82,7,12,35.859375,14,113.0,87.74434312732186
1794,82,6,69,10.078125,14,114.0,177.07070505960527
1795,57,7,69,10.078125,14,115.0,91.14324020127118
1796,57,6,12,10.078125,14,116.0,128.5408647309424
1797,57,6,69,35.859375,14,117.0,211.0816811482886
1798,57,6,69,10.078125,7,118.0,120.80881363862328
1799,57,6,69,10.078125,14,119.0,89.59444063143445
1800,54,6,52,61.640625,6,0.0,133.21462551841913
1801,98,6,52,61.640625,6,1.0,301.228465518161
1802,54,6,52,61.640625,6,2.0,131.8351658392471
1803,54,6,85,61.640625,6,3.0,223.77875646386423
1804,54,6,52,46.171875,6,4.0,129.96850273424374
1805,54,6,52,61.640625,4,5.0,135.19494530137277
1806,54,6,85,46.171875,4,6.0,230.07505697644973
1807,98,6,85,46.171875,4,7.0,167.08090734028093
1808,98,6,52,46.171875,4,8.0,287.6298112915301
1809,98,6,85,61.640625,4,9.0,281.7149522046705
1810,98,6,85,46.171875,6,10.0,282.67335719764765
1811,98,6,85,46.171875,4,11.0,175.6959822747415
1812,79,9,97,20.390625,12,12.0,142.43811966797324
1813,73,9,97,20.390625,12,13.0,144.58839050131925
1814,79,3,97,20.390625,12,14.0,144.29858683197696
1815,79,9,40,20.390625,12,15.0,166.8915270312994
1816,79,9,97,87.421875,12,16.0,40.52431259727397
