,num_buildings,Run,Avg_raster_value,num_destinations,trace_strength,agent_vision_angle,agent_vision_samples
0,50.0,0,92.47487108722493,,,,
120,70.0,0,93.43349026772539,,,,
210,85.0,0,108.62675358340958,,,,
270,95.0,0,95.25314830009633,,,,
60,60.0,0,90.06381154848444,,,,
240,90.0,0,94.14777024616482,,,,
90,65.0,0,100.52812801371576,,,,
300,100.0,0,95.33959056456754,,,,
30,55.0,0,98.13505338726723,,,,
150,75.0,0,110.15748422863697,,,,
180,80.0,0,82.34611926880432,,,,
271,95.0,1,85.07171487741333,,,,
61,60.0,1,100.27087157647405,,,,
121,70.0,1,92.29853997209271,,,,
181,80.0,1,100.44868334670655,,,,
151,75.0,1,86.68120547212095,,,,
31,55.0,1,106.52497591343659,,,,
91,65.0,1,106.32009424436217,,,,
211,85.0,1,92.23021381980537,,,,
241,90.0,1,92.66482139126802,,,,
1,50.0,1,103.95811074678555,,,,
301,100.0,1,95.48273558368496,,,,
212,85.0,2,96.08440082271858,,,,
32,55.0,2,103.16456752930928,,,,
302,100.0,2,99.32394417653076,,,,
62,60.0,2,97.65546793417595,,,,
273,95.0,2,97.47831159189734,,,,
182,80.0,2,89.66074526403442,,,,
152,75.0,2,108.5522101939558,,,,
92,65.0,2,116.43088345052442,,,,
5,50.0,2,104.57272357272358,,,,
242,90.0,2,111.25750661502474,,,,
122,70.0,2,96.20161347142958,,,,
272,95.0,3,84.84841773213866,,,,
63,60.0,3,95.46040671971707,,,,
93,65.0,3,87.15523852291962,,,,
243,90.0,3,102.87655004428699,,,,
213,85.0,3,98.12598284488921,,,,
123,70.0,3,86.59593211115268,,,,
183,80.0,3,88.66121654833424,,,,
2,50.0,3,104.28834447473578,,,,
153,75.0,3,104.56058372641509,,,,
33,55.0,3,130.02859858660165,,,,
303,100.0,3,91.8211798939966,,,,
124,70.0,4,88.12543326812863,,,,
64,60.0,4,97.54956664995345,,,,
184,80.0,4,86.26953981008035,,,,
154,75.0,4,97.79728158162524,,,,
304,100.0,4,100.38602833771546,,,,
94,65.0,4,100.06395242785743,,,,
274,95.0,4,92.5128884180791,,,,
214,85.0,4,89.02471529809964,,,,
244,90.0,4,96.45672757765277,,,,
34,55.0,4,134.748509440212,,,,
4,50.0,4,93.02719140058697,,,,
6,50.0,5,103.60106788710908,,,,
65,60.0,5,92.18819007686932,,,,
245,90.0,5,95.10424859550562,,,,
35,55.0,5,80.74611728477709,,,,
185,80.0,5,90.99931452856703,,,,
125,70.0,5,106.6282962026258,,,,
155,75.0,5,99.73668386474147,,,,
305,100.0,5,92.72797663041565,,,,
215,85.0,5,99.1041584583975,,,,
275,95.0,5,89.84811903425042,,,,
95,65.0,5,99.96993318485524,,,,
156,75.0,6,95.61849751452776,,,,
3,50.0,6,114.05070169266253,,,,
246,90.0,6,103.28754348308786,,,,
66,60.0,6,84.39947116511028,,,,
186,80.0,6,96.59977735483176,,,,
306,100.0,6,96.59003044678893,,,,
276,95.0,6,95.74063710718897,,,,
216,85.0,6,100.24516903817461,,,,
36,55.0,6,102.67478675457221,,,,
126,70.0,6,91.67749694962524,,,,
96,65.0,6,107.06531564367984,,,,
217,85.0,7,87.28193301896533,,,,
187,80.0,7,84.5974236773035,,,,
127,70.0,7,103.9836670981497,,,,
97,65.0,7,100.1859292914951,,,,
247,90.0,7,83.64426694831342,,,,
7,50.0,7,101.92567942318358,,,,
308,100.0,7,90.27493824153647,,,,
37,55.0,7,93.14309461144202,,,,
157,75.0,7,98.96909661412727,,,,
277,95.0,7,106.49517097363612,,,,
67,60.0,7,96.45440477904131,,,,
248,90.0,8,94.50927575725815,,,,
8,50.0,8,95.43361309126664,,,,
307,100.0,8,103.31799375771213,,,,
188,80.0,8,90.80881581248907,,,,
128,70.0,8,95.6225040768255,,,,
38,55.0,8,100.90957988079663,,,,
278,95.0,8,82.53738019169329,,,,
218,85.0,8,86.43658825520393,,,,
98,65.0,8,97.7667666943852,,,,
158,75.0,8,106.9425860286516,,,,
68,60.0,8,108.10440791222142,,,,
129,70.0,9,91.40793299183164,,,,
159,75.0,9,94.23788233624299,,,,
189,80.0,9,95.13416716022715,,,,
39,55.0,9,103.69782688766114,,,,
309,100.0,9,102.7353649053949,,,,
279,95.0,9,101.0630238260806,,,,
69,60.0,9,108.19813133406171,,,,
9,50.0,9,115.57486580119541,,,,
249,90.0,9,94.5022397225634,,,,
99,65.0,9,97.23104770017036,,,,
219,85.0,9,91.50697009827839,,,,
190,80.0,10,117.22090434515584,,,,
130,70.0,10,120.49493750988768,,,,
100,65.0,10,100.75934689159412,,,,
40,55.0,10,108.31047091412742,,,,
310,100.0,10,92.29211555616551,,,,
10,50.0,10,113.3632782025277,,,,
220,85.0,10,98.92748576196176,,,,
160,75.0,10,90.36214506655546,,,,
250,90.0,10,91.24852537722909,,,,
70,60.0,10,106.30396177433312,,,,
280,95.0,10,95.78583377825235,,,,
71,60.0,11,96.99139883902025,,,,
221,85.0,11,94.87185526174927,,,,
101,65.0,11,103.18828467021238,,,,
161,75.0,11,108.3979420018709,,,,
11,50.0,11,109.2668273757957,,,,
41,55.0,11,95.57766253924578,,,,
251,90.0,11,89.73855367152954,,,,
281,95.0,11,98.80701878016983,,,,
191,80.0,11,93.25292272597662,,,,
311,100.0,11,91.72191078859579,,,,
132,70.0,11,105.07709106791876,,,,
312,100.0,12,87.7770842621489,,,,
252,90.0,12,108.06279052331683,,,,
42,55.0,12,107.63406138886873,,,,
222,85.0,12,87.82560804570177,,,,
12,50.0,12,99.48702724099464,,,,
162,75.0,12,102.92618550551745,,,,
72,60.0,12,102.25748239436619,,,,
192,80.0,12,127.95122343203825,,,,
282,95.0,12,98.10052122114669,,,,
102,65.0,12,102.60025148194718,,,,
131,70.0,12,107.34653722162523,,,,
13,50.0,13,105.96588180621175,,,,
163,75.0,13,90.85833715474973,,,,
223,85.0,13,89.90166388192704,,,,
313,100.0,13,91.50804405990479,,,,
133,70.0,13,92.50455733766692,,,,
253,90.0,13,90.80367296485962,,,,
73,60.0,13,100.2405853941969,,,,
193,80.0,13,86.52691218130312,,,,
283,95.0,13,98.64182158100814,,,,
103,65.0,13,94.58094450239183,,,,
43,55.0,13,92.44447912331808,,,,
224,85.0,14,89.09505703422053,,,,
284,95.0,14,97.64334928923702,,,,
194,80.0,14,97.71712221859232,,,,
